node_id	pr_value
663930	3.314326391172759e-05
482708	1.8084713605850187e-05
1034017	1.0530705281085252e-05
663559	9.369332112672324e-06
357530	8.767438523674246e-06
1120567	8.619765957866801e-06
663605	8.357505691408361e-06
663682	7.033556091692875e-06
1108860	6.775512525411798e-06
664788	6.73397787083565e-06
