id,name
928545,Rivers Cuomo
1645418,Pat Wilson
1161962,Brian Bell
6968,Hugh Jackman
17142,Paul Dano
69597,Drew Barrymore
85097,Joan Blair
96746,David Chameides
1005788,Rayniel Rufino
1076915,Antonio Ortiz
162339,Luis Antonio Ramos
69899,Zachary Levi
13636,Jane Krakowski
11076,David Hyde Pierce
49827,Michael Cerveris
3999,Tom Hulce
4000,Elizabeth Berridge
1222952,Jonathan Llyr
1748,William Shatner
1749,Leonard Nimoy
1159,Steven Bauer
1160,Michelle Pfeiffer
148251,Massimo Ghini
4959,Claudia Cardinale
32312,Ugo Tognazzi
227,William Hurt
40542,Hector Babenco
5048,Harry Dean Stanton
585,Rutger Hauer
11478,Lorraine Bracco
3556,Roman Polanski
1423963,Ludovic Paris
32017,Didier Lavergne
41711,Kitten Natividad
97698,Michelle Bauer
106426,Lois Ayres
18972,Danny Masterson
1130441,Robert Sklar
108650,Alain Silver
1130439,Drew Casper
1665042,Thierry Frémaux
1867,Auguste Lumière
224,David Cronenberg
3027,Stephen King
72861,Robbie Robertson
941022,Buffy Sainte-Marie
5168,Gabriel Byrne
70035,Maureen O'Hara
39012,Peter Bogdanovich
2636,Alfred Hitchcock
1077703,Donald Spoto
132305,Nobuhiko Ōbayashi
5026,Akira Kurosawa
40223,Joe Carnahan
10828,Guillermo del Toro
1052109,Harry Styles
1052107,Niall Horan
1146050,Zayn Malik
8487,Gregory Peck
7046,Cecilia Peck
1102449,Veronique Peck
67877,George Litto
4301,Angie Dickinson
1979,Kevin Spacey
16294,Jonathan Demme
27554,Alan Bates
70654,Max Wall
1415341,Kazuhiro Tsuji
1267653,Chet Zar
1003,Jean Reno
524,Natalie Portman
3894,Christian Bale
1810,Heath Ledger
3895,Michael Caine
219479,Criss Angel
1101349,Steve Aoki
1407495,Miles Brown
2975,Laurence Fishburne
530,Carrie-Anne Moss
2188363,Pedro Hollywood
131532,J.J. Perry
564,Richard Linklater
584,Philip K. Dick
32233,Tommy Pallotta
18517,Kim Gordon
101831,Thurston Moore
2299,Josh Hartnett
28626,Arielle Dombasle
3614,Michel Houellebecq
2352,Jean-Jacques Annaud
206,Jim Carrey
204,Kate Winslet
2219,Tobey Maguire
17051,James Franco
40036,Taraji P. Henson
6944,Octavia Spencer
1005852,Janelle Monáe
16896,James Garner
6721,Piper Laurie
6450,Faye Dunaway
3380,Bette Davis
157936,James Sloyan
2040755,Chuck E. Cheese
57756,Gene Simmons
2040756,Jim Newberry
109887,Caroll Spinney
64180,Steve Whitmire
68456,Richard Hunt
213896,Camille Bonora
17483,Michael Maloney
6238,Juliet Stevenson
1145010,Gregory Chisholm
68455,Jerry Nelson
64181,Dave Goelz
2,Mark Hamill
6,Anthony Daniels
3,Harrison Ford
17244,Hayden Christensen
898,Mark Goldblatt
1264,Bill Pankow
4955,Dario Argento
109255,Leonard Maltin
1817034,Michael Sragow
4762,Paul Thomas Anderson
2545,Lawrence Bender
141,David Carradine
1037,Harvey Keitel
3129,Tim Roth
9857,Karl Malden
5248,Lee J. Cobb
13570,Samuel Goldwyn
3417,Tony Goldwyn
103829,Jason Presson
84678,Johnny Cash
20309,Dwight Yoakam
106179,Anthony Franciosa
10190,Jill St. John
5250,Jack Klugman
3810,Javier Bardem
72305,Lesley Manville
44735,Jesse Eisenberg
8490,John Megna
6838,Frank Overton
2880,Emilio Estevez
1063,Lea Thompson
104997,Marlo Thomas
11088,Barry Tubb
3266,Joe Mantegna
36059,Joanna Pacula
1179102,Kathleen Kennedy
928944,Coleman Barks
2022250,Robert Bly
514,Jack Nicholson
1892,Matt Damon
125025,Joey King
122889,Dane DeHaan
84225,Gil Birmingham
2641,Martin Landau
72028,Arye Gross
92029,Gabriel Bologna
4724,Kevin Bacon
66743,Matt Bomer
1461,George Clooney
2098136,Brian Becker
2098137,Richard Becker
2098138,Blase Bonpane
13852,Virginia Cherrill
13853,Florence Lee
14028,Jack Oakie
14029,Reginald Gardiner
14434,Georgia Hale
14435,Mack Swain
19426,Jackie Coogan
21301,Edna Purviance
14027,Paulette Goddard
14438,Henry Bergman
106569,Mady Correll
106570,Allison Roddan
29545,Claire Bloom
