source,target
15175,898
15175,1264
15175,138
15175,36594
15175,113
15175,4955
15175,30807
15175,670
15175,8750
15175,40223
15175,11770
15175,10828
15175,109255
15175,1817034
15175,2636
15175,1077703
15175,1032
138,4762
138,36594
138,2545
138,141
138,1037
138,3129
138,147
138,8891
138,44038
138,2963
138,2231
138,139
138,4430
138,6449
138,516
138,134
138,27319
138,6193
138,287
138,19119
3084,3087
3084,8349
3084,1158
3084,3085
3084,9857
3084,5248
3084,4483
3084,13570
3084,3417
3087,8349
3087,1158
3087,3092
3087,103829
3087,515
3087,84678
3087,20309
3087,3085
3087,106179
3087,10190
3087,5250
3087,3810
3087,72305
3087,44735
3087,3037
3087,4951
3087,8487
3087,8490
3087,6838
8349,2880
8349,1063
8349,104997
8349,11088
8349,3266
8349,36059
8349,1179102
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,125025
8349,122889
8349,84225
8349,2641
8349,72028
8349,92029
8349,4724
8349,66743
8349,1461
8349,2098136
8349,2098137
8349,2098138
13848,13852
13848,13853
13848,14028
13848,14029
13848,14434
13848,14435
13848,19426
13848,21301
13848,14027
13848,14438
13848,106569
13848,106570
13848,29545
13848,3363
13848,13855
13848,147962
13848,21306
13848,21303
13848,4111
13848,68703
13848,578708
13848,1007754
13848,176543
13848,1488806
13848,2011
13848,290
13848,14674
13848,11487
4111,11916
4111,3854
4111,4110
4111,4112
4111,2417497
4111,6588
9261,31
31,32
31,33
31,52
31,5149
31,1892
31,3197
31,35219
31,7879
31,24
31,28
31,12898
31,27116
31,9979
31,325
31,70851
31,134
31,707
31,26485
31,54812
31,107602
31,107605
31,2585
2227,1162360
2227,500
2227,55085
2227,2127
2227,2682390
2227,4430
2227,94059
2227,102603
2227,76788
2227,108916
2227,1371
2297235,491
491,130
491,33185
491,670
30807,670
30807,8750
30807,31212
30807,78848
30807,99599
30807,109255
30807,1817034
670,72754
670,60074
670,1245537
670,4027
670,8750
670,67367
670,557528
670,130
670,33185
670,2297235
670,2
670,3
670,4
8750,3037
8750,4951
8750,1776
2154,2152
2154,516
2154,1213783
2154,21722
2154,20
2154,17486
2154,1222952
2154,1748
2154,1749
2154,1979
2154,2155
2154,151385
2154,2372
2154,55725
2152,516
516,1979
516,2155
516,4430
516,6449
1306064,1736908
1306064,1855591
1306064,174981
1306064,558240
1306064,82702
1306064,18793
1306064,11510
1306064,37759
1306064,20056
1306064,2330903
174981,558240
174981,1250
174981,10730
174981,24265
558240,8968
558240,11181
558240,120931
558240,1164486
558240,121003
558240,1234063
558240,582438
558240,10132
558240,30609
558240,237
558240,37759
558240,20056
558240,2330903
4430,4517
4430,82315
4430,11492
4430,1916574
4430,5168
4430,6449
4430,2682390
4430,71531
4430,1383964
4430,1867979
4430,11770
4430,515
4430,349
4430,28626
4430,3614
4430,2352
6449,9979
6449,9789
6449,14701
3265,4078
3265,52087
3265,6678
3265,12950
3265,10412
3265,1933
3265,6250
3265,14812
3265,10699
3265,44384
3265,3712
3265,35028
3265,78729
3265,17628
3265,1050292
3265,1050293
3265,1050294
3265,5821
3265,4670
3265,4959
4078,44797
4078,1434484
4078,14276
4078,99846
4078,11163
4078,19429
4078,18897
14276,83259
14276,585373
14276,11190
14276,1334578
74308,928572
14701,24399
14701,24478
14701,36925
14782,147
14782,20212
14782,76546
14782,95468
147,1932312
147,1932313
147,1037
147,3129
147,23920
147,6844
147,68559
147,188707
147,139
147,2535
147,140
147,59554
147,1591097
147,1591098
147,17397
147,17398
147,578
147,2778
147,1499594
147,31169
19429,1062379
19429,65103
19429,57700
19429,18897
19429,62410
19429,1619377
19429,1331010
19429,122528
19429,15111
19429,1341
19429,135177
19429,132476
19429,51576
19429,1698118
19429,240040
19429,11163
18897,1619
18897,1338
18897,1341
18897,62410
18897,15111
18897,68676
18897,936716
18897,1635792
18897,1519031
18897,51576
18897,11163
18897,130394
18897,238888
18897,695
15111,144302
15111,36071
15111,11163
9979,56890
9979,46393
9979,8893
9979,1162
9979,9789
9979,20212
9979,41249
9979,1204
9979,21818
9979,928944
9979,2022250
9979,1204293
9979,2027993
9979,27116
9979,1066777
9979,65013
9979,4808
9979,7447
9979,9560
9979,3085
9979,67315
9979,2734157
9979,2734158
9979,2045089
9979,4687
9979,2045090
9789,9871
9789,4956
20156,4347
20156,4299
20156,15531
20156,18249
20156,51718
20156,19178
20156,82388
20156,7904
20156,1243
4347,99662
4347,82170
4347,83463
4347,543105
4347,581662
4347,4070
4347,40167
4347,185588
4347,4299
4347,13294
4347,9066
4347,56752
4347,66776
4347,16303
4347,94759
4347,77073
4347,834
4347,16523
4347,19460
4347,65717
4347,10431
4347,12147
4347,6598
4347,7639
4347,176543
4347,1488806
4347,2011
4299,40174
4299,109897
4299,4165
4299,4300
4299,89784
4299,22092
4299,2672
4299,9066
4299,56752
4299,66776
4299,19724
4299,1188774
4299,38070
4299,65717
4299,10431
1038,4173
1038,349
1038,13
1038,15854
13,84678
13,368
13,73421
4517,14702
4517,11477
4517,11510
4517,1244120
4517,4513
4517,1158
14702,88516
14702,85154
14702,18461
14702,1216139
14702,57389
45001,107605
45001,98539
45001,6609
45001,5791
45001,61303
45001,46944
45001,1937
45001,1242827
45001,586186
45001,1243
45001,2750
45001,37469
45001,1211997
45001,113
45001,1116483
45001,1888957
107605,107602
107605,2585
11477,5656
11477,1245
11477,1023139
73421,1545693
73421,934
73421,935
73421,5953
73421,9273
73421,108916
73421,1136517
73421,1819889
73421,1345495
73421,58074
73421,741
73421,84678
73421,368
73421,26847
73421,514
73421,19769
1545693,1447932
1545693,137905
1545693,69033
1545693,939118
1545693,1528800
1158,1159
1158,1160
1158,3092
1158,3085
1158,2157
1158,39996
1158,1151
3092,3084
3092,3085
1259,19665
1259,1115053
1259,25822
1259,354606
1259,9789
1259,9871
1259,4956
1259,65314
1259,28782
1259,856
1259,5821
1259,4670
1259,4959
19665,12235
19665,98199
19665,2227
19665,500
19665,488
1208,11181
1208,30140
1208,113
1208,45380
1208,29312
1208,41232
1208,40433
1208,41256
1208,91460
1208,24554
1208,176543
1208,1488806
1208,2011
11181,1145340
11181,168374
11181,7056
11181,56101
11181,30140
11181,78334
11181,515
11181,8968
11181,5309
11181,195525
11181,3223
11181,74568
11181,16828
30140,31308
30140,30810
3085,22082
3085,2714
3085,7447
3085,9560
3085,2057865
3085,1778612
3085,1848881
113,45380
