COUNTY,14_DAY_AVERAGE
Humboldt,2
Kern,92
Los Angeles,1434
Fresno,121
Mono,11
Monterey,58
Alameda,96
San Bernardino,420
Orange,247
Riverside,350
Shasta,45
Sacramento,162
San Diego,371
San Francisco,58
Santa Clara,144
San Luis Obispo,31
Santa Barbara,26
Sonoma,74
San Joaquin,76
