TIME,FLIGHT,FROM_AIRPORT,IATA,AIRLINE,AIRCRAFT,STATUS
10:45,DL1066,Minneapolis ,MSP,Delta Air Lines,B739 (N900DU),Scheduled
10:46,AS3435,Los Angeles ,LAX,Alaska SkyWest,E75L (N174SY),Scheduled
10:54,AA2907,Chicago ,ORD,American Airlines,A319 (N804AW),Scheduled
10:55,WN416,Denver ,DEN,Southwest Airlines,B738 (N8512U),Scheduled
10:55,WN1341,Phoenix ,PHX,Southwest Airlines (Louisiana One Livery),B737 (N946WN),Scheduled
11:07,AA76,New York ,JFK,American Airlines,A321 (N104NN),Scheduled
11:19,B615,New York ,JFK,JetBlue Airways,A321 (N929JB),Scheduled
11:20,UA892,Seoul ,ICN,United Airlines,B789 (N29968),Scheduled
11:26,AS3413,San Diego ,SAN,Alaska SkyWest,E75L (N403SY),Scheduled
11:34,B61833,Boston ,BOS,JetBlue Airways,A321 (N979JT),Scheduled
11:34,DL301,New York ,JFK,Delta Air Lines,B752 (N702TW),Scheduled
11:36,AS428,Portland ,PDX,Alaska Airlines,B738 (N557AS),Scheduled
11:46,UA769,Chicago ,ORD,United Airlines,B753 (N57870),Scheduled
11:52,UA1068,Denver ,DEN,United Airlines,B738 (N78285),Scheduled
11:54,UA2372,Houston ,IAH,United Airlines,B739 (N38458),Scheduled
11:54,UA5697,Sacramento ,SMF,United Express,E75L (N109SY),Scheduled
11:55,AA3179,Los Angeles ,LAX,American Eagle,CRJ7 (N740SK),Scheduled
11:59,UA390,San Diego ,SAN,United Airlines,B739 (N61881),Scheduled
12:00,AM668,Mexico City ,MEX,Aeromexico,B738 (XA-AMN),Scheduled
12:02,UA5899,Reno ,RNO,United Express,E75L (N213SY),Scheduled
12:09,UA5416,Ontario ,ONT,United Express,CRJ7 (N780SK),Scheduled
12:17,AA2918,Miami ,MIA,American Airlines,A321 (N994AN),Scheduled
12:17,UA5468,Santa Ana ,SNA,United Express,E75L (N146SY),Scheduled
12:20,DL1202,Minneapolis ,MSP,Delta Air Lines,B739 (N897DN),Scheduled
12:20,DL1204,Atlanta ,ATL,Delta Air Lines,B739 (N913DU),Scheduled
12:20,UA2121,Las Vegas ,LAS,United Airlines,A319 (N894UA),Scheduled
12:20,UA5880,Phoenix ,PHX,United Express,E75L (N142SY),Scheduled
